,,black,yellow/orange,yellow/orange,green,green
,,%mel,%mel,%xan,%mel,%xan
varadero,VAO1,15.99,8.47,7.29,-,-
varadero,VAO2,15.13,8.09,6.99,-,-
varadero,VAO4,15.59,13.25,3.62,-,-
varadero,VAO5,15.31,8.01,6.73,-,-
varadero,VAO6,14.77,7.35,7.04,-,-
varadero,VAO7,14.00,8.23,7.00,-,-
striped,PO16,19.17,11.97,7.59,-,-
striped,PC22,16.59,11.81,7.71,-,-
striped,PC23,19.27,16.63,4.17,-,-
striped,PC24,17.25,13.02,7.12,-,-
striped,PC25,13.96,13.13,6.05,-,-
striped,PC26,16.66,9.67,4.98,,
spotted,TUO4,15.11,-,-,15.58,1.93
spotted,TUO5,16.65,-,-,16.03,1.04
spotted,TUO6,18.62,-,-,14.74,1.94
spotted,3701,17.85,-,-,16.62,0.33
spotted,3703,16.27,-,-,22.72,3.28
spotted,3704,17.1,-,-,19.53,5.05
banded,SA01,16.51,7.25,12.75,-,-
banded,SA02,17.12,7.32,12.74,-,-
banded,SA03,18.5,8.04,7.65,-,-
banded,SA04,15.48,6.24,10.49,-,-
banded,SA05,13.8,9.2,8.86,-,-
banded,SA06,18.44,1.63,15.82,-,-